TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_III_VL_PASSIVO;TAB_III_A_VL_PAGAR;TAB_III_A1_VL_CPRAZO;TAB_III_A2_VL_LPRAZO;TAB_III_B_VL_POSICAO_DERIV;TAB_III_B1_VL_TERMO;TAB_III_B2_VL_OPCAO;TAB_III_B3_VL_FUTURO;TAB_III_B4_VL_SWAP_PAGAR
Classe;09.104.359/0001-83;DETOMASO FIDC-NP MULTISSETORIAL;2025-06-30;2730347.68;2730347.68;2728232.60;2115.08;0.00;0.00;0.00;0.00;0.00
Classe;09.115.244/0001-94;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRATEX PRECATÓRIO II - RESPONSABILIDADE LIMITADA;2025-06-30;356838.13;356838.13;356838.13;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.137.729/0001-89;MULTI RECEBÍVEIS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-06-30;490512.91;490512.91;490512.91;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.163.026/0001-25;MERIDIANO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-06-30;1208469.33;1208469.33;1208469.33;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.172.117/0001-27;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL ÁSIA LP;2025-06-30;18666395.46;18666395.46;18666395.46;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.195.235/0001-50;FIDC DO SISTEMA PETROBRAS;2025-06-30;4940839.74;4940839.74;4940839.74;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.217.017/0001-70;ACCESS 1 FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESPONSABILIDADE LIMITADA;2025-06-30;151540.51;151540.51;0.00;151540.51;0.00;0.00;0.00;0.00;0.00
Classe;09.217.024/0001-71;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FRANQUIAS - RESPONSABILIDADE LIMITADA;2025-06-30;403902.26;403902.26;403902.26;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.220.444/0001-07;DELTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-06-30;432464.09;432464.09;432464.09;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.221.411/0001-81;VERTIGO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-06-30;549603.43;549603.43;549603.43;0.00;0.00;0.00;0.00;0.00;0.00
