TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_X_CLASSE_SERIE;TAB_X_VL_RENTAB_MES
Classe;55.508.226/0001-90;THE ONE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;-5.91
Classe;55.512.068/0001-41;PRIMER CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 1;4.83
Classe;55.512.068/0001-41;PRIMER CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Mezanino 1 | Série 1;1.60
Classe;55.512.068/0001-41;PRIMER CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;4.83
Classe;55.519.337/0001-00;BT VAREJO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Senior Série 1;1.41
Classe;55.519.337/0001-00;BT VAREJO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;1.56
Classe;55.521.594/0001-78;BTG EMPRESAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Senior Série 1;-51.80
Classe;55.521.594/0001-78;BTG EMPRESAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;0.00
Classe;55.523.204/0001-07;DMX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 1;1.45
Classe;55.523.204/0001-07;DMX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;0.08
Classe;55.523.204/0001-07;DMX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Mezanino 1 |;1.45
Classe;55.539.221/0001-24;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS GENIAL MULTI CONSIGNADOS I;2025-06-30;Subclasse Senior;0.00
Classe;55.539.221/0001-24;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS GENIAL MULTI CONSIGNADOS I;2025-06-30;Subclasse Subordinada  |;1.05
Classe;55.554.537/0001-95;ITAMARACÁ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior;0.00
Classe;55.554.537/0001-95;ITAMARACÁ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;-0.72
Classe;55.559.261/0001-38;ITAPIRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Senior Série 1;1.56
Classe;55.559.261/0001-38;ITAPIRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;0.00
Classe;55.562.158/0001-47;LANDBANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 1;1.21
Classe;55.562.158/0001-47;LANDBANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 2;1.21
Classe;55.562.158/0001-47;LANDBANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada  |;0.00
Classe;55.563.624/0001-09;PLGN MARKETPLACE FUNDO DE  INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Senior Série 1;-0.14
Classe;55.563.624/0001-09;PLGN MARKETPLACE FUNDO DE  INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;0.00
Classe;55.565.510/0001-06;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TM4;2025-06-30;Subclasse Senior Série 1;1.33
Classe;55.565.510/0001-06;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TM4;2025-06-30;Subclasse Subordinada Subordinada 1 |;1.61
Classe;55.565.510/0001-06;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TM4;2025-06-30;Subclasse Subordinada Mezanino 1 | Série 1;1.56
Classe;55.565.510/0001-06;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TM4;2025-06-30;Subclasse Subordinada Mezanino 2 | Série 1;1.83
Classe;55.567.840/0001-22;HOLE IN ONE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Senior;0.00
Classe;55.567.840/0001-22;HOLE IN ONE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;1.62
Classe;55.569.572/0001-88;M7 CORAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Senior;0.00
Classe;55.569.572/0001-88;M7 CORAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;0.56
Classe;55.579.164/0001-07;VERA CRUZ II - ATIVOS JUDICIAIS - PROCESSO DE CONHECIMENTO - FIDC - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 1;0.00
Classe;55.579.164/0001-07;VERA CRUZ II - ATIVOS JUDICIAIS - PROCESSO DE CONHECIMENTO - FIDC - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;0.75
Classe;55.581.400/0001-20;INSS SOLIS ITER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 1;1.31
Classe;55.581.400/0001-20;INSS SOLIS ITER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 2;1.25
Classe;55.581.400/0001-20;INSS SOLIS ITER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;-6.23
Classe;55.581.400/0001-20;INSS SOLIS ITER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Mezanino 1 | Série 1;1.39
Classe;55.581.400/0001-20;INSS SOLIS ITER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Mezanino 2 | Série 1;0.90
Classe;55.581.400/0001-20;INSS SOLIS ITER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Mezanino 3 | Série 1;1.49
Classe;55.582.283/0001-19;JIVE DISTRESSED & SPECIAL SITS IV (OFFSHORE) FIDC RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior;0.00
Classe;55.582.283/0001-19;JIVE DISTRESSED & SPECIAL SITS IV (OFFSHORE) FIDC RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;1.31
Classe;55.586.406/0001-90;LEPTA SPECIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Senior Série 1;1.49
Classe;55.586.406/0001-90;LEPTA SPECIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Senior Série 2;1.49
Classe;55.586.406/0001-90;LEPTA SPECIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;0.87
Classe;55.595.058/0001-17;ATIVOS ESPECIAIS IV A FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Senior;0.00
Classe;55.595.058/0001-17;ATIVOS ESPECIAIS IV A FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;-0.22
Classe;55.595.137/0001-28;JIF II CRÉDITOS - FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO PRIVADO;2025-06-30;Subclasse Senior;0.00
Classe;55.595.137/0001-28;JIF II CRÉDITOS - FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO PRIVADO;2025-06-30;Subclasse Subordinada Subordinada 1 |;1.56
Classe;55.595.705/0001-90;NN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO CORPORATIVO - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior;0.00
Classe;55.595.705/0001-90;NN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO CORPORATIVO - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;1.40
Classe;55.596.335/0001-06;GO.BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Senior Série 1;0.00
Classe;55.596.335/0001-06;GO.BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Subordinada Mezanino 1 | Série 1;0.89
Classe;55.596.335/0001-06;GO.BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;10.36
Classe;55.609.516/0001-20;SIGHT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior;0.00
Classe;55.609.516/0001-20;SIGHT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;2.10
Classe;55.610.024/0001-54;DEFFENDER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 1;0.00
Classe;55.610.024/0001-54;DEFFENDER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;2.38
Classe;55.619.752/0001-27;MAX 90 FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Senior;0.00
