TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_X_NR_COTST_SENIOR_PF;TAB_X_NR_COTST_SENIOR_PJ_NAO_FINANC;TAB_X_NR_COTST_SENIOR_BANCO;TAB_X_NR_COTST_SENIOR_CORRETORA_DISTRIB;TAB_X_NR_COTST_SENIOR_PJ_FINANC;TAB_X_NR_COTST_SENIOR_INVNR;TAB_X_NR_COTST_SENIOR_EAPC;TAB_X_NR_COTST_SENIOR_EFPC;TAB_X_NR_COTST_SENIOR_RPPS;TAB_X_NR_COTST_SENIOR_SEGUR;TAB_X_NR_COTST_SENIOR_CAPITALIZ;TAB_X_NR_COTST_SENIOR_COTA_FIDC;TAB_X_NR_COTST_SENIOR_FII;TAB_X_NR_COTST_SENIOR_OUTRO_FI;TAB_X_NR_COTST_SENIOR_CLUBE;TAB_X_NR_COTST_SENIOR_OUTRO;TAB_X_NR_COTST_SUBORD_PF;TAB_X_NR_COTST_SUBORD_PJ_NAO_FINANC;TAB_X_NR_COTST_SUBORD_BANCO;TAB_X_NR_COTST_SUBORD_CORRETORA_DISTRIB;TAB_X_NR_COTST_SUBORD_PJ_FINANC;TAB_X_NR_COTST_SUBORD_INVNR;TAB_X_NR_COTST_SUBORD_EAPC;TAB_X_NR_COTST_SUBORD_EFPC;TAB_X_NR_COTST_SUBORD_RPPS;TAB_X_NR_COTST_SUBORD_SEGUR;TAB_X_NR_COTST_SUBORD_CAPITALIZ;TAB_X_NR_COTST_SUBORD_COTA_FIDC;TAB_X_NR_COTST_SUBORD_FII;TAB_X_NR_COTST_SUBORD_OUTRO_FI;TAB_X_NR_COTST_SUBORD_CLUBE;TAB_X_NR_COTST_SUBORD_OUTRO
Classe;08.654.210/0001-05;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP RESPONSABILIDADE LIMITADA;2025-06-30;0;0;2;0;0;0;0;0;0;0;0;0;0;56;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;14;0;0
Classe;08.661.352/0001-08;VVMB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-06-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Classe;08.678.936/0001-88;SIFRA PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS;2025-06-30;30;4;0;0;0;0;0;0;0;0;0;0;0;132;0;14;3;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0
Classe;08.692.888/0001-82;CARTÃO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;5;1;0;0;2;0;0;0;0;0;0;2;1;62;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;20;0;0
Classe;08.756.222/0001-40;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL TRADEMAX RESPONSABILIDADE LIMITADA;2025-06-30;2;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Classe;08.927.488/0001-09;FIDC TRENDBANK BANCO DE FOMENTO - MULTISETORIAL;2025-06-30;0;0;0;0;1;0;0;4;15;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Classe;08.930.397/0001-22;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL PROSPECTA LP;2025-06-30;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
Classe;08.987.105/0001-98;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - FORNECEDORES I DE RESPONSABILIDADE LIMITADA;2025-06-30;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Classe;09.009.924/0001-23;ECO MULTI COMMODITIES FIDC AGROPECUARIOS;2025-06-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Classe;09.057.948/0001-58;FIDC MULTISETORIAL EXICON I;2025-06-30;10;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
